Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
		19625	129.4	19625	132.0	
		19595	129.4	19595	132.0	
		19565	129.4	19565	130.9	
		19535	128.3	19535	131.0	
		19505	127.2	19505	130.9	
		19475	127.2	19475	130.9	
		19445	127.2	19445	129.8	
		19415	127.2	19415	129.8	
		19385	125.0	19385	128.7	
		19325	125.0	19325	128.7	
		19295	125.0	19295	127.6	
		19265	123.9	19265	127.6	
		19235	122.8	19235	126.5	
		19175	122.8	19175	126.4	
		19145	122.8	19145	125.4	
		19115	121.7	19115	125.3	
		19055	121.7	19055	124.2	
		19025	120.6	19025	124.2	
		18995	119.5	18995	124.2	
		18965	119.5	18965	123.1	
		18905	119.5	18905	123.1	
		18875	118.4	18875	121.0	
		18845	118.3	18845	120.9	
		18815	117.3	18815	119.8	
		18755	117.2	18755	119.8	
		18725	116.2	18725	118.7	
		18695	116.1	18695	119.7	
		18635	115.1	18635	117.6	
		18605	115.0	18605	118.6	
		18575	115.0	18575	117.5	
		18545	114.0	18545	117.6	
		18515	113.9	18515	117.5	
		18454	113.9	18454	116.4	
		18424	112.8	18424	116.4	
		18394	111.7	18394	115.3	
		18334	112.8	18334	115.3	
		18304	110.6	18304	115.3	
		18274	110.6	18274	114.2	
		18244	110.6	18244	114.2	
		18184	109.5	18184	113.0	
		18154	109.5	18154	113.0	
		18124	108.4	18124	111.9	
		18064	107.3	18064	111.9	
		18034	107.3	18034	110.8	
		18004	107.3	18004	109.7	
		17974	106.2	17974	109.7	
		17914	106.2	17914	109.7	
		17884	106.2	17884	108.6	
		17854	105.1	17854	108.6	
		17824	105.1	17824	108.6	
		17764	104.0	17764	107.5	
		17734	104.0	17734	106.4	
		17704	104.0	17704	106.4	
		17674	102.9	17674	106.3	
		17614	102.9	17614	105.3	
		17584	102.9	17584	105.2	
		17554	101.8	17554	104.2	
		17494	101.8	17494	104.1	
		17464	101.8	17464	104.1	
		17434	99.6	17434	104.1	
		17404	99.6	17404	103.0	
		17344	99.6	17344	101.9	
		17314	98.5	17314	100.9	
		17284	97.4	17284	100.8	
		17254	97.4	17254	99.7	
		17194	97.4	17194	99.6	
		17164	96.3	17164	99.6	
		17134	95.2	17134	98.5	
		17104	95.2	17104	98.5	
		17044	94.1	17044	96.4	
		17014	94.1	17014	96.3	
		16984	93.0	16984	95.2	
		16954	91.9	16954	95.2	
		16894	91.9	16894	94.1	
		16864	90.8	16864	93.0	
		16834	89.7	16834	92.9	
		16774	89.6	16774	91.8	
		16744	88.5	16744	91.8	
		16714	87.4	16714	90.7	
		16684	87.4	16684	90.7	
		16624	87.4	16624	90.7	
		16594	87.4	16594	90.7	
		16564	87.5	16564	90.8	
		16534	88.5	16534	90.8	
		16474	88.5	16474	90.8	
		16444	88.5	16444	90.8	
		16414	88.5	16414	90.7	
		16384	88.5	16384	90.7	
		16324	87.5	16324	90.7	
		16294	87.4	16294	90.7	
		16264	87.4	16264	89.6	
		16204	87.4	16204	89.6	
		16174	86.3	16174	89.6	
		16144	85.2	16144	88.5	
		16114	85.2	16114	87.4	
		16053	84.1	16053	87.4	
		16023	84.1	16023	87.3	
		15993	84.1	15993	87.3	
		15963	83.0	15963	85.2	
		15903	81.9	15903	85.1	
		15873	80.8	15873	84.0	
		15843	80.8	15843	84.0	
		15813	79.7	15813	81.8	
		15753	78.6	15753	80.7	
		15723	76.4	15723	80.6	
		15693	76.4	15693	78.5	
		15633	74.2	15633	77.4	
		15603	74.2	15603	76.2	
		15573	73.1	15573	75.1	
		15543	72.0	15543	75.1	
		15483	72.0	15483	74.0	
		15453	69.8	15453	72.9	
		15423	69.8	15423	72.9	
		15393	69.8	15393	71.8	
		15333	69.8	15333	72.9	
		15303	69.8	15303	72.9	
		15273	69.8	15273	72.9	
		15213	69.8	15213	72.9	
		15183	70.9	15183	72.9	
		15153	70.9	15153	74.0	
		15123	70.9	15123	74.0	
		15063	72.0	15063	75.1	
		15033	72.0	15033	75.1	
		15003	73.1	15003	75.1	
		14973	73.1	14973	75.1	
		14943	73.1	14943	75.1	
		14883	73.1	14883	75.1	
		14853	70.9	14853	75.1	
		14823	70.9	14823	74.0	
		14763	70.9	14763	73.9	
		14733	69.8	14733	71.8	
		14703	69.8	14703	71.7	
		14673	67.6	14673	71.7	
		14613	67.6	14613	70.6	
		14583	67.6	14583	70.6	
		14553	66.5	14553	68.4	
		14493	65.4	14493	68.4	
		14463	64.3	14463	67.3	
		14433	64.3	14433	67.2	
		14403	64.3	14403	66.2	
		14343	62.1	14343	66.1	
		14313	62.0	14313	65.0	
		14283	62.0	14283	63.9	
		14253	59.9	14253	62.9	
		14193	59.8	14193	62.8	
		14163	59.8	14163	62.8	
		14133	58.7	14133	61.7	
