Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
840	12.2	18	128.3	18	132.1	
891	10.6	48	128.3	48	132.1	
932	10.6	109	129.4	109	132.1	
953	9.4	139	129.4	139	132.1	
995	10.6	169	129.4	169	132.1	
1036	7.2	199	129.4	199	132.1	
1088	9.4	259	129.4	259	132.1	
1130	9.4	289	128.3	289	132.1	
1151	8.9	319	128.3	319	131.0	
1194	8.9	349	129.4	349	132.1	
1236	9.4	409	129.4	409	131.0	
1289	9.4	439	129.4	439	132.1	
1332	9.4	469	129.4	469	132.1	
1353	10.0	499	129.4	499	132.1	
1397	8.3	559	128.3	559	133.1	
1440	9.4	589	129.4	589	132.1	
1494	8.9	619	128.3	619	133.1	
1549	9.4	679	129.4	679	131.0	
1604	7.2	709	129.4	709	132.1	
1648	10.0	739	129.4	739	131.0	
1703	9.4	769	129.4	769	132.1	
1759	8.3	830	129.4	830	131.0	
1804	7.8	860	128.3	860	130.9	
1826	10.0	890	128.3	890	130.9	
1860	9.4	920	126.1	920	130.9	
1916	9.4	980	126.1	980	128.7	
1973	7.2	1010	123.9	1010	126.5	
2019	8.9	1040	121.7	1040	124.2	
2042	10.0	1070	119.5	1070	122.0	
2076	13.3	1130	116.1	1130	118.7	
2134	7.8	1160	113.9	1160	116.4	
2192	8.9	1190	111.7	1190	114.2	
2239	8.3	1250	110.6	1250	113.0	
2263	9.4	1280	109.5	1280	112.0	
2298	8.9	1310	111.7	1310	113.1	
2357	8.3	1340	112.8	1340	115.3	
2416	8.3	1400	115.0	1400	118.6	
2464	11.7	1430	117.2	1430	119.8	
2488	8.3	1460	119.5	1460	123.1	
2524	11.1	1490	122.8	1490	125.3	
2585	10.0	1551	123.9	1551	126.5	
2645	7.2	1581	125.0	1581	127.6	
2694	11.1	1611	125.0	1611	128.7	
2756	8.9	1671	126.1	1671	128.7	
2817	10.0	1701	125.0	1701	128.7	
2879	6.1	1731	125.0	1731	128.7	
2929	10.0	1761	126.1	1761	127.6	
2992	9.4	1821	125.0	1821	127.6	
3018	8.9	1851	125.0	1851	127.6	
3056	8.9	1881	123.9	1881	127.6	
3120	11.7	1911	123.9	1911	126.5	
3171	12.8	1971	123.9	1971	126.5	
3236	9.4	2001	122.8	2001	125.4	
3262	9.4	2031	122.8	2031	125.4	
3301	9.4	2091	121.7	2091	124.3	
3366	11.1	2121	121.7	2121	124.2	
3419	11.7	2151	121.7	2151	124.2	
3485	10.0	2181	120.6	2181	124.2	
3511	10.0	2242	120.6	2242	123.2	
3551	10.6	2272	120.6	2272	123.1	
3619	8.3	2302	118.4	2302	122.0	
3673	6.7	2332	118.4	2332	122.0	
3741	10.0	2392	118.4	2392	122.0	
3810	10.6	2422	118.4	2422	120.9	
3865	5.0	2452	118.3	2452	120.9	
3892	10.0	2482	117.3	2482	120.9	
3948	8.9	2542	117.2	2542	120.9	
4004	10.0	2572	117.2	2572	119.8	
4075	11.1	2602	117.2	2602	118.7	
4132	10.0	2632	116.2	2632	118.7	
4160	15.0	2692	116.1	2692	118.7	
4218	9.4	2722	116.1	2722	118.6	
4275	8.3	2752	116.1	2752	118.6	
4348	8.3	2812	115.1	2812	118.6	
4406	11.7	2842	115.0	2842	118.6	
