Location (um) - Load	Load (gm) - Load	Location (um) - Top view	Diameter (um) - Top view	Location (um) - Side view	Diameter (um) - Side view	
		21269	129.4	21269	132.0	
		21239	129.4	21239	132.0	
		21209	130.6	21209	132.1	
		21179	128.3	21179	132.1	
		21149	128.3	21149	131.0	
		21119	128.3	21119	131.0	
		21089	128.3	21089	130.9	
		21029	128.3	21029	130.9	
		20999	128.3	20999	128.8	
		20969	126.1	20969	128.8	
		20939	127.2	20939	128.7	
		20879	126.1	20879	128.7	
		20848	125.0	20848	128.7	
		20818	125.0	20818	126.6	
		20788	123.9	20788	126.5	
		20728	123.9	20728	126.4	
		20698	122.8	20698	125.4	
		20668	122.8	20668	124.3	
		20608	121.7	20608	124.2	
		20578	121.7	20578	124.2	
		20548	120.6	20548	123.1	
		20518	119.5	20518	122.0	
		20458	119.5	20458	122.0	
		20428	119.5	20428	120.9	
		20398	118.4	20398	120.9	
		20368	117.3	20368	119.8	
		20308	116.2	20308	119.8	
		20278	116.1	20278	118.7	
		20248	116.1	20248	118.6	
		20188	116.1	20188	117.6	
		20158	114.0	20158	117.5	
		20128	113.9	20128	116.5	
		20098	113.9	20098	116.4	
		20038	113.9	20038	116.4	
		20008	112.8	20008	115.3	
		19978	111.8	19978	114.3	
		19948	111.7	19948	114.2	
		19888	111.7	19888	114.2	
		19858	111.7	19858	114.2	
		19828	110.6	19828	113.1	
		19798	110.6	19798	112.0	
		19738	110.6	19738	112.0	
		19708	108.5	19708	111.9	
		19678	108.4	19678	111.9	
		19618	108.4	19618	111.9	
		19588	107.3	19588	109.8	
		19558	107.3	19558	109.7	
		19528	107.3	19528	109.7	
		19468	106.2	19468	108.6	
		19438	106.2	19438	108.6	
		19408	105.1	19408	107.5	
		19378	105.1	19378	106.4	
		19318	104.0	19318	106.3	
		19288	102.9	19288	106.3	
		19258	102.9	19258	104.2	
		19227	101.8	19227	104.1	
		19167	100.7	19167	103.1	
		19137	99.6	19137	103.0	
		19107	99.6	19107	101.9	
		19077	99.6	19077	101.9	
		19017	97.4	19017	100.8	
		18987	97.4	18987	99.7	
		18957	97.4	18957	99.7	
		18897	96.3	18897	99.6	
		18867	95.2	18867	98.6	
		18837	95.2	18837	97.5	
		18807	95.2	18807	97.4	
		18747	94.1	18747	97.4	
		18717	94.1	18717	97.4	
		18687	94.1	18687	97.4	
		18657	94.1	18657	96.3	
		18597	94.1	18597	96.3	
		18567	93.0	18567	95.3	
		18537	93.0	18537	95.2	
		18477	93.0	18477	95.2	
		18447	91.9	18447	95.2	
		18417	91.9	18417	95.2	
		18387	91.9	18387	95.2	
		18327	91.9	18327	93.0	
		18297	90.7	18297	93.0	
		18267	90.7	18267	92.9	
		18237	88.6	18237	91.9	
		18177	88.5	18177	91.8	
		18147	88.5	18147	90.7	
		18117	87.5	18117	89.6	
		18087	86.4	18087	89.6	
		18027	86.3	18027	88.6	
		17997	86.3	17997	87.4	
		17967	85.2	17967	87.4	
		17907	84.1	17907	87.3	
		17877	84.1	17877	86.3	
		17847	84.1	17847	85.2	
		17817	83.0	17817	85.2	
		17757	83.0	17757	85.1	
		17726	81.9	17726	85.1	
		17696	81.9	17696	85.1	
		17666	81.9	17666	84.1	
		17606	80.8	17606	83.0	
		17576	80.8	17576	82.9	
		17546	80.8	17546	82.9	
		17486	79.7	17486	82.9	
		17456	79.7	17456	82.9	
		17426	79.7	17426	82.9	
		17396	79.7	17396	81.8	
		17336	79.7	17336	81.8	
		17306	79.7	17306	81.8	
		17276	78.6	17276	81.8	
		17246	77.5	17246	80.7	
		17186	77.5	17186	79.6	
		17156	77.5	17156	79.6	
